t,rain_inches,station
2026-07-25 20:15:00+00:00,0.0,KACZ
2026-07-25 20:17:00+00:00,0.0,KFBG
2026-07-25 20:30:00+00:00,0.0,KFBG
2026-07-25 20:35:00+00:00,0.0,KACZ
2026-07-25 20:50:00+00:00,0.0,KFBG
2026-07-25 20:55:00+00:00,0.0,KFBG
2026-07-25 21:15:00+00:00,0.0,KACZ
2026-07-25 21:35:00+00:00,0.0,KACZ
2026-07-25 21:45:00+00:00,0.0,KFBG
2026-07-25 21:55:00+00:00,0.0,KFBG
2026-07-25 22:15:00+00:00,0.0,KACZ
2026-07-25 22:35:00+00:00,0.0,KFBG
2026-07-25 22:55:00+00:00,0.0,KFBG
2026-07-25 23:15:00+00:00,0.0,KACZ
2026-07-25 23:35:00+00:00,0.0,KACZ
2026-07-25 23:55:00+00:00,0.0,KFBG
2026-07-26 00:15:00+00:00,0.0,KACZ
2026-07-26 00:35:00+00:00,0.0,KACZ
2026-07-26 00:55:00+00:00,0.0,KFBG
2026-07-26 01:15:00+00:00,0.0,KACZ
2026-07-26 01:35:00+00:00,0.0,KACZ
2026-07-26 01:55:00+00:00,0.0,KFBG
2026-07-26 02:05:00+00:00,0.0,KFBG
2026-07-26 02:15:00+00:00,0.0,KACZ
2026-07-26 02:35:00+00:00,0.0,KACZ
2026-07-26 02:55:00+00:00,0.0,KFBG
2026-07-26 03:00:00+00:00,0.0,KFBG
2026-07-26 03:10:00+00:00,0.0,KFBG
2026-07-26 03:15:00+00:00,0.0,KACZ
2026-07-26 03:35:00+00:00,0.0,KACZ
2026-07-26 03:50:00+00:00,0.0,KFBG
2026-07-26 03:55:00+00:00,0.0,KFBG
2026-07-26 04:15:00+00:00,0.0,KACZ
2026-07-26 04:35:00+00:00,0.0,KACZ
2026-07-26 04:55:00+00:00,0.0,KFBG
2026-07-26 05:15:00+00:00,0.0,KACZ
2026-07-26 05:24:00+00:00,0.0,KFBG
2026-07-26 05:35:00+00:00,0.0,KACZ
2026-07-26 05:55:00+00:00,0.0,KFBG
2026-07-26 06:15:00+00:00,0.0,KACZ
2026-07-26 06:35:00+00:00,0.0,KACZ
2026-07-26 06:55:00+00:00,0.0,KFBG
2026-07-26 07:15:00+00:00,0.0,KACZ
2026-07-26 07:35:00+00:00,0.0118110236220472,KACZ
2026-07-26 07:41:00+00:00,0.0,KFBG
2026-07-26 07:51:00+00:00,0.0,KFBG
2026-07-26 07:55:00+00:00,0.0,KFBG
2026-07-26 08:05:00+00:00,0.0,KFBG
2026-07-26 08:15:00+00:00,0.0,KACZ
2026-07-26 08:35:00+00:00,0.0,KACZ
2026-07-26 08:40:00+00:00,0.0,KFBG
2026-07-26 08:50:00+00:00,0.0,KFBG
2026-07-26 08:55:00+00:00,0.0,KFBG
2026-07-26 09:00:00+00:00,0.0,KFBG
2026-07-26 09:05:00+00:00,0.0,KFBG
2026-07-26 09:15:00+00:00,0.0,KFBG
2026-07-26 09:30:00+00:00,0.0,KFBG
2026-07-26 09:35:00+00:00,0.0,KFBG
2026-07-26 09:40:00+00:00,0.0,KFBG
2026-07-26 09:55:00+00:00,0.0,KFBG
2026-07-26 10:15:00+00:00,0.0,KACZ
